user_id,observation.id,observation.license_code,observation.photo.id,observation.photo.license_code
jbest,208632847,CC-BY,369154751,CC-BY
jbest,208632847,CC-BY,369154782,CC-BY
jbest,208632847,CC-BY,369154808,CC-BY
jbest,208633054,CC-BY,369155112,CC-BY
jbest,208633054,CC-BY,369155145,CC-BY
jbest,208633054,CC-BY,369155169,CC-BY
jbest,208633090,CC-BY,369155211,CC-BY
jbest,208633090,CC-BY,369155235,CC-BY
jbest,208633090,CC-BY,369155266,CC-BY
jbest,208633146,CC-BY,369155332,CC-BY
jbest,208633146,CC-BY,369155372,CC-BY
jbest,208633146,CC-BY,369155399,CC-BY
jbest,208633146,CC-BY,369155421,CC-BY
jbest,208633257,CC-BY,369155532,CC-BY
jbest,208633257,CC-BY,369155556,CC-BY
jbest,208633257,CC-BY,369155587,CC-BY
jbest,208633301,CC-BY,369155634,CC-BY
jbest,208633301,CC-BY,369155655,CC-BY
jbest,208633301,CC-BY,369155687,CC-BY
jbest,208633359,CC-BY,369155818,CC-BY
jbest,208633359,CC-BY,369155836,CC-BY
jbest,208633359,CC-BY,369155873,CC-BY
jbest,213853357,CC-BY,377954318,CC-BY
jbest,213853357,CC-BY,377954362,CC-BY
jbest,213853751,CC-BY,377955033,CC-BY
jbest,213853992,CC-BY,377955554,CC-BY
jbest,213853992,CC-BY,377955606,CC-BY
jbest,214910452,CC-BY,379913893,CC-BY
jbest,215597558,CC-BY,381194797,CC-BY
jbest,215597558,CC-BY,381208088,CC-BY
jbest,221821846,CC-BY,392863767,CC-BY
jbest,221821846,CC-BY,392863803,CC-BY
jbest,221826144,CC-BY,392871207,CC-BY
jbest,221826144,CC-BY,392871262,CC-BY
jbest,221826144,CC-BY,392871299,CC-BY
jbest,226075713,CC-BY,400902238,CC-BY
jbest,226075713,CC-BY,400902251,CC-BY
jbest,226075713,CC-BY,400902275,CC-BY
jbest,235390918,CC-BY,418618135,CC-BY
jbest,235390918,CC-BY,418618177,CC-BY
jbest,235390918,CC-BY,418618205,CC-BY
jbest,235390918,CC-BY,418618242,CC-BY
jbest,235390918,CC-BY,418618276,CC-BY
jbest,235390918,CC-BY,418618318,CC-BY
jbest,235391046,CC-BY,418618444,CC-BY
jbest,235391046,CC-BY,418618482,CC-BY
jbest,235391189,CC-BY,418618690,CC-BY
jbest,235391189,CC-BY,418618723,CC-BY
jbest,235391189,CC-BY,418618751,CC-BY
jbest,235391189,CC-BY,418618794,CC-BY
jbest,235391293,CC-BY,418618986,CC-BY
jbest,235391293,CC-BY,418619008,CC-BY
jbest,235391293,CC-BY,418619037,CC-BY
jbest,235391434,CC-BY,418619286,CC-BY
jbest,239315419,CC-BY,426202206,CC-BY
jbest,239315419,CC-BY,426202368,CC-BY
jbest,239316288,CC-BY,426204418,CC-BY
jbest,239316288,CC-BY,426204518,CC-BY
jbest,240106427,CC-BY,427728906,CC-BY
jbest,240106427,CC-BY,427728967,CC-BY
jbest,240106516,CC-BY,427729064,CC-BY
jbest,240106516,CC-BY,427729076,CC-BY
jbest,240106566,CC-BY,427729213,CC-BY
jbest,240106566,CC-BY,427729262,CC-BY
jbest,240106610,CC-BY,427729392,CC-BY
jbest,240106610,CC-BY,427729493,CC-BY
jbest,240106734,CC-BY,427729775,CC-BY
jbest,240106734,CC-BY,427729824,CC-BY
jbest,240106856,CC-BY,427729846,CC-BY
jbest,240106856,CC-BY,427730621,CC-BY
jbest,240107290,CC-BY,427730778,CC-BY
jbest,240107369,CC-BY,427730824,CC-BY
jbest,240257752,CC-BY,428022785,CC-BY
jbest,240257752,CC-BY,428022859,CC-BY
jbest,240258558,CC-BY,428022941,CC-BY
jbest,240258558,CC-BY,428022994,CC-BY
jbest,240258729,CC-BY,428037452,CC-BY
jbest,240258729,CC-BY,428037480,CC-BY
jbest,240258729,CC-BY,428037585,CC-BY
jbest,240265795,CC-BY,428037616,CC-BY
jbest,240265795,CC-BY,428037638,CC-BY
jbest,240265795,CC-BY,428037655,CC-BY
jbest,240265795,CC-BY,428037678,CC-BY
jbest,240265795,CC-BY,428037734,CC-BY
jbest,240278055,CC-BY,428063003,CC-BY
jbest,240278055,CC-BY,428063020,CC-BY
jbest,240278055,CC-BY,428063034,CC-BY
jbest,240278097,CC-BY,428063112,CC-BY
jbest,240278152,CC-BY,428063318,CC-BY
jbest,240278152,CC-BY,428063349,CC-BY
jbest,240278152,CC-BY,428063378,CC-BY
jbest,247422403,CC-BY,441901750,CC-BY
jbest,247422498,CC-BY,441901935,CC-BY
jbest,247422498,CC-BY,441901949,CC-BY
jbest,247422498,CC-BY,441901963,CC-BY
jbest,247422498,CC-BY,441901971,CC-BY
jbest,247422498,CC-BY,441901983,CC-BY
jbest,247422575,CC-BY,441902083,CC-BY
jbest,247422617,CC-BY,441902169,CC-BY
jbest,247422617,CC-BY,441902189,CC-BY
jbest,247422617,CC-BY,441902197,CC-BY
jbest,247422657,CC-BY,441902259,CC-BY
jbest,247422699,CC-BY,441902321,CC-BY
jbest,247422699,CC-BY,441902332,CC-BY
jbest,247422744,CC-BY,441902424,CC-BY
jbest,247422744,CC-BY,441902437,CC-BY
jbest,247422744,CC-BY,441902456,CC-BY
jbest,247422744,CC-BY,441902482,CC-BY
jbest,247422744,CC-BY,441902500,CC-BY
jbest,247422794,CC-BY,441902562,CC-BY
jbest,247422804,CC-BY,441902577,CC-BY
jbest,247422831,CC-BY,441902630,CC-BY
jbest,247422884,CC-BY,441902774,CC-BY
jbest,247422949,CC-BY,441902955,CC-BY
jbest,247422949,CC-BY,441902969,CC-BY
jbest,247422949,CC-BY,441902980,CC-BY
jbest,263796229,CC-BY,473965163,CC-BY
jbest,263796229,CC-BY,473965182,CC-BY
jbest,263796229,CC-BY,473965199,CC-BY
jbest,268253823,CC-BY,482163257,CC-BY
jbest,268253823,CC-BY,482163281,CC-BY
jbest,268254070,CC-BY,482163692,CC-BY
